ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address,latitude,longitude
84000596,NA,Daniel Pratt Historic District,Alabama,Autauga,Prattville,"Roughly bounded by Northington Rd., 1st, 6th, Bridge, and Court Sts.",Listed,Single,FALSE,140,Industry; Architecture; Social History,District,https://catalog.archives.gov/id/77835702,FALSE,FALSE,TRUE,FALSE,FALSE,1984-08-30,NA,NA,NA,84000596,Daniel Pratt,"Daniel Pratt Historic District, Autauga, Alabama",32.46125,-86.47275
88000107,NA,Battles Wharf Historic District,Alabama,Baldwin,Battles Wharf,"US 98, Eastern Shore Blvd. roughly between Woolworth Ave. and Buerger La.",Listed,Single,FALSE,34,Entertainment/Recreation; Architecture,District,https://catalog.archives.gov/id/77835727,FALSE,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,NA,NA,88000107,Battles Wharf,"Battles Wharf Historic District, Baldwin, Alabama",30.49366,-87.92734
88000520,NA,Brodbeck-Zundel Historic District,Alabama,Baldwin,Point Clear,US 98 Scenic Route and Old Marlow Rd.,Listed,Single,FALSE,4.6,Architecture,District,https://catalog.archives.gov/id/77835719,FALSE,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,NA,NA,88000520,Brodbeck-Zundel,"Brodbeck-Zundel Historic District, Baldwin, Alabama",30.47421,-87.91886
04000115,AD,Fairhope Downtown Historic District,Alabama,Baldwin,Fairhope,"Roughly bounded by Equality St., Fairhope Ave., Morphy Ave., School St., Summit St.",Listed,Add.doc.,FALSE,100,Social History; Architecture,District,NA,FALSE,TRUE,FALSE,FALSE,FALSE,2006-03-16,NA,NA,NA,04000115,Fairhope Downtown,"Fairhope Downtown Historic District, Baldwin, Alabama",30.52242,-87.90298
04001496,AD,Foley Downtown Historic District,Alabama,Baldwin,Foley,"Parts of Alston, N & S McKenzie, AL 98, E & W Laurel, Myrtle, Rose, and W. Orange",Listed,Add.doc.,FALSE,230.6,Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2005-01-19,NA,NA,NA,04001496,Foley Downtown,"Foley Downtown Historic District, Baldwin, Alabama",30.40643,-87.68381
12000316,NA,Foley Downtown Historic District (Boundary Decrease),Alabama,Baldwin,Foley,"Parts of Alston, McKenzie, N. & S. Laurel & W. Orange Sts.",Listed,Single,FALSE,19.4,Commerce; Architecture,District,https://catalog.archives.gov/id/77835735,FALSE,FALSE,FALSE,TRUE,FALSE,2012-06-04,NA,NA,NA,12000316,Foley Downtown (Boundary Decrease),"Foley Downtown Historic District (Boundary Decrease), Baldwin, Alabama",30.40643,-87.68381
100003122,RS,Foley Downtown Historic District (Boundary Increase),Alabama,Baldwin,Foley,"Parts of N&S Alston, N & S McKenzie, Laurel & Pine Sts., W Myrtle, E  & W Rose, W. Orange &  W Jessamine Aves.",Listed,Resubmission,FALSE,104,Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2019-09-20,NA,NA,NA,04001496,Foley Downtown (Boundary Increase),"Foley Downtown Historic District (Boundary Increase), Baldwin, Alabama",30.40643,-87.68381
11001046,NA,Magnolia Springs Historic District,Alabama,Baldwin,Magnolia Springs,"Roughly along Oak, Spring, Bay, Jessamine, Magnolia, Pine & Rock Sts., Island, Cedar & Holly Aves. & Magnolia Spgs. Hyw.",Listed,Single,FALSE,163,Entertainment/Recreation,District,https://catalog.archives.gov/id/77835740,FALSE,FALSE,FALSE,TRUE,FALSE,2012-01-27,NA,NA,NA,11001046,Magnolia Springs,"Magnolia Springs Historic District, Baldwin, Alabama",30.39943,-87.77623
76000310,NA,Montrose Historic District,Alabama,Baldwin,Montrose,Main (AL 42) and 2nd Sts.,Listed,Single,FALSE,79,Architecture,District,https://catalog.archives.gov/id/77835717,FALSE,FALSE,TRUE,FALSE,FALSE,1976-06-03,NA,See Also:Creole and Gulf Coast Cottages in Baldwin County TR,NA,76000310,Montrose,"Montrose Historic District, Baldwin, Alabama",30.5687,-87.90058
88000515,NA,Point Clear Historic District,Alabama,Baldwin,Point Clear,W side of US 98/Eastern Shore Blvd.,Listed,Single,FALSE,68,Entertainment/Recreation; Architecture,District,https://catalog.archives.gov/id/77835725,FALSE,FALSE,FALSE,TRUE,FALSE,1988-04-28,NA,NA,NA,88000515,Point Clear,"Point Clear Historic District, Baldwin, Alabama",30.48026,-87.92749
88001009,NA,White Avenue Historic District,Alabama,Baldwin,Fairhope,White Ave.,Listed,Multiple,FALSE,5,Economics; Entertainment/Recreation; Exploration/Settlement; Architecture; Philosophy,District,https://catalog.archives.gov/id/77834823,FALSE,FALSE,FALSE,TRUE,FALSE,1988-07-01,NA,NA,NA,88001009,White Avenue,"White Avenue Historic District, Baldwin, Alabama",30.51717,-87.903
73000330,NA,Lore Historic District,Alabama,Barbour,Eufaula,"Bounded by Eufaula Ave., and Browder, Livingston, and Barbour Sts.",Listed,Single,FALSE,395,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835781,FALSE,FALSE,TRUE,FALSE,FALSE,1973-12-12,NA,See Also:82001990;71000093;72000156;72000154;71000095;720001,NA,73000330,Lore,"Lore Historic District, Barbour, Alabama",31.89614,-85.14241
86001534,AD,"Lore, Seth And Irwinton Historic District (Boundary Increase)",Alabama,Barbour,Eufaula,"Roughly bounded by Browder St., Van Buren Ave., Washington St., and Sanford Ave.",Listed,Add.doc.,FALSE,205,Industry; Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835779,FALSE,FALSE,TRUE,FALSE,FALSE,1986-08-14,NA,See Also:71000093;71000095;72000154;72000156;73000330;820019,NA,86001534,"Lore, Seth And Irwinton (Boundary Increase)","Lore, Seth And Irwinton Historic District (Boundary Increase), Barbour, Alabama",31.89614,-85.14241
78000482,NA,Centreville Historic District,Alabama,Bibb,Centreville,"Walnut St., East and West Court Sq.",Listed,Single,FALSE,7.5,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835799,FALSE,FALSE,TRUE,FALSE,FALSE,1978-10-19,NA,NA,NA,78000482,Centreville,"Centreville Historic District, Bibb, Alabama",32.94523,-87.13553
76000312,NA,Bullock County Courthouse Historic District,Alabama,Bullock,Union Springs,N. Prairie St.,Listed,Single,FALSE,25.1,Economics; Politics/Government,District,https://catalog.archives.gov/id/77835813,FALSE,FALSE,TRUE,FALSE,FALSE,1976-10-08,NA,NA,NA,76000312,Bullock County Courthouse,"Bullock County Courthouse Historic District, Bullock, Alabama",32.14532,-85.71608
86001967,NA,Commerce Street Residential Historic District,Alabama,Butler,Greenville,"206, 212, 218, 301 E. Commerce St.",Listed,Multiple,FALSE,1.8,Industry; Commerce; Health/Medicine; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834897,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001967,Commerce Street Residential,"Commerce Street Residential Historic District, Butler, Alabama",31.8296,-86.62136
86001966,NA,East Commerce Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by Cedar, Chestnut, Commerce, and Hickory Sts.",Listed,Multiple,FALSE,4.5,Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834909,FALSE,FALSE,FALSE,TRUE,FALSE,1986-11-04,NA,NA,NA,86001966,East Commerce Street,"East Commerce Street Historic District, Butler, Alabama",31.8296,-86.61886
86001974,NA,Fort Dale-College Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by Ft. Dale, Hamilton, and N. College Sts.",Listed,Multiple,FALSE,32.5,Commerce; Health/Medicine; Education; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834905,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001974,Fort Dale-College Street,"Fort Dale-College Street Historic District, Butler, Alabama",31.83487,-86.63053
86001971,NA,King Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by W. Commerce, Oliver, Milner, and King Sts.",Listed,Multiple,FALSE,4,Architecture,District,https://catalog.archives.gov/id/77834859,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001971,King Street,"King Street Historic District, Butler, Alabama",31.82876,-86.6297
86001968,NA,Post Office Historic District,Alabama,Butler,Greenville,100--115 W. Commerce and 101 E. Commerce Sts.,Listed,Multiple,FALSE,2.5,Commerce; Entertainment/Recreation; Architecture; Communications,District,https://catalog.archives.gov/id/77834895,FALSE,FALSE,FALSE,TRUE,FALSE,1986-11-04,NA,NA,NA,86001968,Post Office,"Post Office Historic District, Butler, Alabama",31.8296,-86.62414
86001965,NA,South Greenville Historic District,Alabama,Butler,Greenville,"Roughly bounded by Walnut, S. Conecuh, Parmer, and Church and Harrison and Caldwell Sts.",Listed,Multiple,FALSE,80,Commerce; Transportation; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834899,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001965,South Greenville,"South Greenville Historic District, Butler, Alabama",31.82599,-86.62136
86001972,NA,South Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by South, Oliver, and McKenzie Sts.",Listed,Multiple,FALSE,5.5,Architecture,District,https://catalog.archives.gov/id/77834857,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001972,South Street,"South Street Historic District, Butler, Alabama",31.83126,-86.6297
86001970,NA,West Commerce Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by W. Commerce, Bolling, and Milner Sts., and L & N RR",Listed,Multiple,FALSE,2,Commerce; Transportation; Architecture,District,https://catalog.archives.gov/id/77834903,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001970,West Commerce Street,"West Commerce Street Historic District, Butler, Alabama",31.8293,-86.6283
91000663,NA,Downtown Anniston Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St.",Listed,Multiple,FALSE,36.5,Community Planning And Development; Commerce; Architecture,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,See Also:80000681;85002889;85002873;85002866;85002878;850028,NA,91000663,Downtown Anniston,"Downtown Anniston Historic District, Calhoun, Alabama",33.65846,-85.83058
91000663,RS,Downtown Anniston Historic District (Additional Documentation),Alabama,Calhoun,Anniston,"Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St.",Listed,Resubmission,FALSE,85,Community Planning And Development; Commerce; Architecture; Ethnic Heritage-Black; Social History,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,NA,NA,91000663,Downtown Anniston (Additional Documentation),"Downtown Anniston Historic District (Additional Documentation), Calhoun, Alabama",33.65846,-85.83058
100009122,RS,Downtown Anniston Historic District (Boundary Increase Ii/Decrease),Alabama,Calhoun,Anniston,"20, 101, 227 14th St. West, 130, 216, 230 15th St. West",Listed,Resubmission,FALSE,85,Community Planning And Development; Commerce; Architecture; Ethnic Heritage-Black; Social History,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,2024-11-14,NA,NA,NA,91000663,Downtown Anniston (Boundary Increase Ii/Decrease),"Downtown Anniston Historic District (Boundary Increase Ii/Decrease), Calhoun, Alabama",33.65846,-85.83058
10000270,NA,Downtown Anniston Historic District (Boundary Increase),Alabama,Calhoun,Anniston,"Bounded by Wilmer & Walnut Aves., W. 9th & 14th Sts.",Listed,Single,FALSE,66,Community Planning And Development; Commerce; Black; Architecture,District,https://catalog.archives.gov/id/77835857,FALSE,TRUE,FALSE,FALSE,FALSE,2010-05-24,NA,NA,NA,10000270,Downtown Anniston (Boundary Increase),"Downtown Anniston Historic District (Boundary Increase), Calhoun, Alabama",33.65846,-85.83058
86001044,NA,Downtown Jacksonville Historic District,Alabama,Calhoun,Jacksonville,"Roughly bounded by College, Thomas, Coffee, and Spring Sts.",Listed,Single,FALSE,33,Education; Exploration/Settlement; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835835,FALSE,FALSE,FALSE,TRUE,FALSE,1986-05-13,NA,"See Also:Francis, Dr. J. C., Office",NA,86001044,Downtown Jacksonville,"Downtown Jacksonville Historic District, Calhoun, Alabama",33.81393,-85.76131
93000418,NA,East Anniston Residential Historic District,Alabama,Calhoun,Anniston,"Roughly, along Leighton and Christine Aves. from 11th St. to 22nd Sts. and Woodstock Ave. from 11th St. to Rocky Hollow",Listed,Multiple,FALSE,137,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77834953,FALSE,FALSE,FALSE,TRUE,FALSE,1993-05-28,NA,See Also:Crowan Cottage;Kilby House;Saint Paul's Methodist E,NA,93000418,East Anniston Residential,"East Anniston Residential Historic District, Calhoun, Alabama",33.66373,-85.82425
06000981,NA,Fort Mcclellan Ammunition Storage Historic District,Alabama,Calhoun,Anniston,Pappy Dunn Blvd.,Listed,Single,FALSE,27,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835869,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,NA,NA,06000981,Fort Mcclellan Ammunition Storage,"Fort Mcclellan Ammunition Storage Historic District, Calhoun, Alabama",33.72204,-85.78127
06000982,NA,Fort Mcclellan Industrial Historic District,Alabama,Calhoun,Anniston,"Jimmy Parks Blvd., Transportation Rd., Idaho Ave.",Listed,Single,FALSE,52,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835873,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,Warehouse Area,NA,06000982,Fort Mcclellan Industrial,"Fort Mcclellan Industrial Historic District, Calhoun, Alabama",33.71771,-85.79007
06000983,NA,Fort Mcclellan Post Headquarters Historic District,Alabama,Calhoun,Anniston,"Buckner Circle, Headquarters Ave., Drennan Dr.",Listed,Single,FALSE,66,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835867,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,NA,NA,06000983,Fort Mcclellan Post Headquarters,"Fort Mcclellan Post Headquarters Historic District, Calhoun, Alabama",33.71645,-85.79696
85002867,NA,Glenwood Terrace Residential Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by Oak St., Jefferson Ave., lots on S side of Glenwood Terr. & N side of Orchard St., and Highland Ave.",Listed,Multiple,FALSE,8,Architecture,District,https://catalog.archives.gov/id/77834925,FALSE,FALSE,TRUE,FALSE,FALSE,1985-10-03,NA,NA,NA,85002867,Glenwood Terrace Residential,"Glenwood Terrace Residential Historic District, Calhoun, Alabama",33.65452,-85.81703
06000436,NA,Profile Cotton Mills Historic District,Alabama,Calhoun,Jacksonville,"Alexandria St., A St., H St., and D St.",Listed,Single,FALSE,60,Industry; Social History,District,https://catalog.archives.gov/id/77835865,FALSE,FALSE,FALSE,TRUE,FALSE,2006-05-31,NA,Ide Cotton Mills,NA,06000436,Profile Cotton Mills,"Profile Cotton Mills Historic District, Calhoun, Alabama",33.81118,-85.76968
85002888,NA,Tyler Hill Residential Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by E. Seventh, Knox and Goodwin and Lapsley Aves., E. Sixth St., and Leighton Ave.",Listed,Multiple,FALSE,12.5,Architecture,District,https://catalog.archives.gov/id/77834939,FALSE,FALSE,TRUE,FALSE,FALSE,1985-10-03,NA,See Also:Parker-Reynolds House,NA,85002888,Tyler Hill Residential,"Tyler Hill Residential Historic District, Calhoun, Alabama",33.65232,-85.82337
91000662,NA,West Fifteenth Street Historic District,Alabama,Calhoun,Anniston,416--712 W. Fifteenth St.,Listed,Single,FALSE,5.7,Community Planning And Development; Commerce; Black; Architecture,District,https://catalog.archives.gov/id/77835861,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,NA,NA,91000662,West Fifteenth Street,"West Fifteenth Street Historic District, Calhoun, Alabama",33.66368,-85.83733
80000682,NA,Chambers County Courthouse Square Historic District,Alabama,Chambers,Lafayette,"Roughly bounded by Alabama and 2nd Aves., and 1st St.",Listed,Single,FALSE,15,Architecture,District,https://catalog.archives.gov/id/77835882,FALSE,FALSE,TRUE,FALSE,FALSE,1980-03-27,NA,NA,NA,80000682,Chambers County Courthouse Square,"Chambers County Courthouse Square Historic District, Chambers, Alabama",32.89916,-85.40088
99001177,NA,Fairfax Historic District,Alabama,Chambers,Valley,"Roughly bounded by River Rd., Spring St., Lamer St., Derson St., Combs St., and Cussetta Rd.",Listed,Multiple,FALSE,240,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834987,FALSE,FALSE,FALSE,TRUE,FALSE,1999-09-24,NA,NA,NA,99001177,Fairfax,"Fairfax Historic District, Chambers, Alabama",32.79319,-85.18127
99001299,NA,Langdale Historic District,Alabama,Chambers,Valley,"Roughly bounded by 65th St., 20th Ave., 61st, 58th, and 55th Sts., 16th Ave., and Chattahoochie R.",Listed,Multiple,FALSE,NA,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834991,FALSE,FALSE,FALSE,TRUE,FALSE,1999-11-12,NA,NA,NA,99001299,Langdale,"Langdale Historic District, Chambers, Alabama",32.81127,-85.16967
99001300,NA,Riverview Historic District,Alabama,Chambers,Valley,"Roughly bounded by School and G.I. Sts., Chattahoochee R. and along California St.",Listed,Multiple,FALSE,71,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834993,FALSE,FALSE,FALSE,TRUE,FALSE,1999-11-12,NA,NA,NA,99001300,Riverview,"Riverview Historic District, Chambers, Alabama",32.78866,-85.14571
99001176,NA,Shawmut Historic District,Alabama,Chambers,Valley,"Roughly bounded by 25th Blvd., 29th Blvd., 20th Ave., 35th St., and 38th Blvd.",Listed,Multiple,FALSE,201,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834989,FALSE,FALSE,FALSE,TRUE,FALSE,1999-09-24,NA,NA,NA,99001176,Shawmut,"Shawmut Historic District, Chambers, Alabama",32.8403,-85.18334
04000557,NA,Gragg Field Historic District,Alabama,Chilton,Clanton,700 Airport Rd.,Listed,Single,FALSE,2.1,Transportation; Social History; Black,District,https://catalog.archives.gov/id/77835894,FALSE,FALSE,FALSE,TRUE,FALSE,2004-06-02,NA,Gragg-Wade Field Airport,NA,04000557,Gragg Field,"Gragg Field Historic District, Chilton, Alabama",32.84989,-86.61006
98000410,NA,Grove Hill Courthouse Square Historic District,Alabama,Clarke,Grove Hill,"Roughly along Cobb, Court, Jackson, and Main Sts.",Listed,Multiple,FALSE,17,Architecture; Commerce; Community Planning And Development,District,https://catalog.archives.gov/id/77835015,FALSE,FALSE,FALSE,TRUE,FALSE,1998-04-30,NA,NA,NA,98000410,Grove Hill Courthouse Square,"Grove Hill Courthouse Square Historic District, Clarke, Alabama",31.70937,-87.77746
97001656,NA,Jackson Historic District,Alabama,Clarke,Jackson,"Roughly along College, Forest, and Carroll Aves., bounded by Cedar, Florida, Commerce, Clinton, and Spruce Sts.",Listed,Multiple,FALSE,180,Architecture; Commerce; Community Planning And Development,District,https://catalog.archives.gov/id/77835013,FALSE,FALSE,FALSE,TRUE,FALSE,1998-01-23,NA,NA,NA,97001656,Jackson,"Jackson Historic District, Clarke, Alabama",31.51744,-87.89318
99000151,NA,Thomasville Historic District,Alabama,Clarke,Thomasville,"Roughly bounded by AL 43, 1145 W. Front St., Wilson St., and 818 W. Third St.",Listed,Multiple,FALSE,138,Commerce; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835017,FALSE,FALSE,FALSE,TRUE,FALSE,1999-02-12,NA,NA,NA,99000151,Thomasville,"Thomasville Historic District, Clarke, Alabama",31.91372,-87.73804
98000409,NA,Whatley Historic District,Alabama,Clarke,Whatley,"Roughly along Whatley Rd., from Grove Hill to the RR tracks",Listed,Multiple,FALSE,45,Architecture; Community Planning And Development,District,https://catalog.archives.gov/id/77835019,FALSE,FALSE,FALSE,TRUE,FALSE,1998-04-30,NA,NA,NA,98000409,Whatley,"Whatley Historic District, Clarke, Alabama",31.6502,-87.70969
73000338,NA,Colbert County Courthouse Square Historic District,Alabama,Colbert,Tuscumbia,"Roughly bounded by E. and W. 2nd, N. and S. Cave, E. and W. 6th, and N. and S. Indian Sts.",Listed,Single,FALSE,72,Architecture,District,https://catalog.archives.gov/id/77835946,FALSE,FALSE,FALSE,TRUE,FALSE,1973-05-24,NA,See Also:Tuscumbia Historic District,NA,73000338,Colbert County Courthouse Square,"Colbert County Courthouse Square Historic District, Colbert, Alabama",34.7334,-87.70357
84000603,NA,Nitrate Village No. 1 Historic District,Alabama,Colbert,Sheffield,"Roughly bounded by Wilson Dam Circle, Wheeler and Wilson Dam Aves., Fontana, and Pickwick Sts.",Listed,Single,FALSE,75.7,Industry; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835952,FALSE,FALSE,TRUE,FALSE,FALSE,1984-08-30,NA,NA,NA,84000603,Nitrate Village No. 1,"Nitrate Village No. 1 Historic District, Colbert, Alabama",34.74259,-87.72225
10000271,NA,Sheffield Downtown Commercial Historic District,Alabama,Colbert,Sheffield,"1st & 5th Sts., Pittsburgh & Columbia Aves.",Listed,Single,FALSE,47,Commerce; Architecture; Industry; Politics/Government,District,https://catalog.archives.gov/id/77835962,FALSE,FALSE,FALSE,TRUE,FALSE,2010-05-24,NA,NA,NA,10000271,Sheffield Downtown Commercial,"Sheffield Downtown Commercial Historic District, Colbert, Alabama",34.7607777,-87.6996533
02000481,NA,Sheffield Residential Historic District,Alabama,Colbert,Sheffield,"Roughly bounded by Riverside Pk, River Bluff Dr., Wood, Third, Second Sts., 15th Ave., 27th St., and 19th Ave.",Listed,Single,FALSE,160,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835950,FALSE,FALSE,FALSE,TRUE,FALSE,2002-05-16,NA,NA,NA,02000481,Sheffield Residential,"Sheffield Residential Historic District, Colbert, Alabama",34.76593,-87.69641
85001158,NA,Tuscumbia Historic District,Alabama,Colbert,Tuscumbia,"Roughly bounded by N. & E. Commons, Eight St. and Spring Rd., Hooks, W. 5th & S. Milton including Steel Bridge",Listed,Single,FALSE,232,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835948,FALSE,FALSE,FALSE,TRUE,FALSE,1985-05-23,NA,See Also:70000101;73000338;82001603;84000749,NA,85001158,Tuscumbia,"Tuscumbia Historic District, Colbert, Alabama",34.7312,-87.70392
93001542,NA,New Evergreen Commercial Historic District,Alabama,Conecuh,Evergreen,"Roughly bounded by Mill, Cooper, Rural, Court, Liberty, E. Front, Cary and Despious Sts.",Listed,Single,FALSE,12,Commerce; Transportation,District,https://catalog.archives.gov/id/77835974,FALSE,FALSE,FALSE,TRUE,FALSE,1994-01-21,NA,See Also:Louisville and Nashville Depot,NA,93001542,New Evergreen Commercial,"New Evergreen Commercial Historic District, Conecuh, Alabama",31.43314,-86.95541
88003238,AD,Andalusia Commercial Historic District (Additional Documentation),Alabama,Covington,Andalusia,"Court Sq., O'Neal Ct., Central, Church, Coffee, North Cotton, South Cotton, Crescent, Dunson, Historic Central, Pear, East Three Notch, and South Three Notch Sts.",Listed,Add.doc.,FALSE,49.5,Community Planning And Development; Transportation; Architecture; Commerce,District,https://catalog.archives.gov/id/77835990,FALSE,FALSE,FALSE,TRUE,FALSE,1989-01-26,NA,NA,NA,88003238,Andalusia Commercial (Additional Documentation),"Andalusia Commercial Historic District (Additional Documentation), Covington, Alabama",31.30687,-86.48203
100008373,BC,Andalusia Commercial Historic District (Boundary Increase And Decrease),Alabama,Covington,Andalusia,"Court Sq., O'Neal Ct., Central, Church, Coffee, North Cotton, South Cotton, Crescent, Dunson, Historic Central, Pear, East Three Notch, and South Three Notch Sts.",Listed,Boundary,FALSE,49.5,Community Planning And Development; Transportation; Architecture; Commerce; Politics/Government,District,https://catalog.archives.gov/id/77835990,FALSE,FALSE,FALSE,TRUE,FALSE,2022-11-17,NA,NA,NA,88003238,Andalusia Commercial (Boundary Increase And Decrease),"Andalusia Commercial Historic District (Boundary Increase And Decrease), Covington, Alabama",31.30687,-86.48203
10001050,NA,Florala Historic District,Alabama,Covington,Florala,"23216-24310 Fifth Ave, N Fifth St. 519-1189 S Fifth St. 1113-1115 Fourth St, 22510-22664 Wall St",Listed,Single,FALSE,69.5,Commerce; Architecture,District,https://catalog.archives.gov/id/77835996,FALSE,FALSE,FALSE,TRUE,FALSE,2010-12-21,NA,NA,NA,10001050,Florala,"Florala Historic District, Covington, Alabama",31.00509,-86.32766
09000692,NA,J.w. Shreve Addition Historic District,Alabama,Covington,Andalusia,"115-300 6th Ave, 302-425 College St., 403-505 E. Three Notch St.",Listed,Single,FALSE,30,Architecture,District,https://catalog.archives.gov/id/77835986,FALSE,FALSE,FALSE,TRUE,FALSE,2009-09-09,NA,NA,NA,09000692,J.w. Shreve Addition,"J.w. Shreve Addition Historic District, Covington, Alabama",31.31055,-86.47726
01001164,NA,Opp Commercial Historic District,Alabama,Covington,Opp,"Roughly bounded by Covington Ave., Hart, Main, Whaley and College Sts.",Listed,Single,FALSE,160,Architecture; Community Planning And Development; Transportation; Commerce,District,https://catalog.archives.gov/id/77835992,FALSE,FALSE,FALSE,TRUE,FALSE,2001-10-29,NA,NA,NA,01001164,Opp Commercial,"Opp Commercial Historic District, Covington, Alabama",31.28206,-86.25463
04000558,NA,Brantley Historic District,Alabama,Crenshaw,Brantley,"Roughly bounded by Sasser St, Fulton Ave., Peachtree St. and Wyatt, and Central of Georgia RR",Listed,Single,FALSE,48.8,Architecture; Commerce,District,https://catalog.archives.gov/id/77836002,FALSE,FALSE,FALSE,TRUE,FALSE,2004-06-02,NA,NA,NA,04000558,Brantley,"Brantley Historic District, Crenshaw, Alabama",31.58235,-86.25716
04000926,NA,Luverne Historic District,Alabama,Crenshaw,Luverne,"Bounded by 1st, 6th Sts., Legrande, Glenwood, Folmar and Hawkins Aves.",Listed,Single,FALSE,100,Architecture; Commerce,District,https://catalog.archives.gov/id/77836000,FALSE,FALSE,FALSE,TRUE,FALSE,2005-01-14,NA,NA,NA,04000926,Luverne,"Luverne Historic District, Crenshaw, Alabama",31.71557,-86.2638
85000738,NA,Cullman Downtown Commercial Historic District,Alabama,Cullman,Cullman,"Roughly bounded by 4th and 1st Aves., 2nd and 5th Sts. SE",Listed,Single,FALSE,11,Commerce; Transportation; Architecture,District,https://catalog.archives.gov/id/77836012,FALSE,FALSE,FALSE,TRUE,FALSE,1985-04-11,NA,See Also:Stiefelmeyer's,NA,85000738,Cullman Downtown Commercial,"Cullman Downtown Commercial Historic District, Cullman, Alabama",34.17583,-86.83994
84000615,NA,Cullman Historic District,Alabama,Cullman,Cullman,"Roughly bounded by 1st and 8th Aves., 3rd and 9th Sts.",Listed,Single,FALSE,88.5,Transportation; European; Exploration/Settlement; Architecture,District,https://catalog.archives.gov/id/77836014,FALSE,FALSE,TRUE,FALSE,FALSE,1984-08-30,NA,Die Deutsche Kolonie Von Nord Alabama,NA,84000615,Cullman,"Cullman Historic District, Cullman, Alabama",34.1732,-86.8369
78000487,NA,Carlowville Historic District,Alabama,Dallas,Selma,17 Mi. (27 km) S of Selma on AL 89,Listed,Single,FALSE,780,Architecture,District,https://catalog.archives.gov/id/77836044,FALSE,FALSE,TRUE,FALSE,FALSE,1978-01-18,NA,NA,NA,78000487,Carlowville,"Carlowville Historic District, Dallas, Alabama",32.08741,-87.03378
